,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
188,-8.25,115.5,-3,Porites sp.,-4.981091666666667,0.019164912280701607,POINT (115.5 -8.25),-0.14,1884
189,15.94,166.04,8,Porites lutea,-4.714166666666666,0.09498845381526166,POINT (166.04 15.94),-0.14,1884
190,27.106,142.194,-5.6,Porites sp.,-4.13,0.19319672131147492,POINT (142.194 27.106),-0.14,1884
191,-16.82,179.23,-10,Porites sp.,-4.75,0.18462962962963037,POINT (179.23 -16.82),-0.14,1884
192,7.2859,134.2503,,Porites lutea,-5.427370322583333,0.14256216390895027,POINT (134.2503 7.2859),-0.14,1884
193,1.5,124.83,-3,Porites sp.,-4.947674999999999,0.1898913804071256,POINT (124.83 1.5),-0.14,1884
194,13.598,144.836,-7.8,Porites lobata,-4.850833333333333,0.1602751448130597,POINT (144.836 13.598),-0.14,1884
195,27.106,142.194,-5.6,Porites sp.,-4.133333333333334,0.18794850948509456,POINT (142.194 27.106),-0.14,1884
196,-22.1,153.0,-10,Porites australiensis,-4.356,-0.13422205588822322,POINT (153 -22.1),-0.14,1884
197,1.0,173.0,-6,,-4.2073163675,0.24501985092742018,POINT (173 1),-0.14,1884
198,-0.4084,-91.234,-3,Pavona clavus,-4.25,-0.2224309392265189,POINT (-91.23399999999999 -0.4084),-0.14,1884
199,3.906228,-159.285932,,,-4.7275,0.16769345238095212,POINT (-159.285932 3.906228),-0.14,1884
200,-21.2378,-159.8278,,Porites lutea,-4.2022,0.08731199999999983,POINT (-159.8278 -21.2378),-0.14,1884
201,-21.2378,-159.8278,,Porites lutea,-4.203749999999999,0.0886876640419958,POINT (-159.8278 -21.2378),-0.14,1884
202,10.3,-109.216667,-2,Porites lobata,-5.230175447416666,0.1254501779668491,POINT (-109.216667 10.3),-0.14,1884
203,-17.5,-149.83,,Porites lutea,4.076666666666667,-0.10367520269498609,POINT (-149.83 -17.5),-0.14,1884
204,-17.5,-149.83,,Porites lutea,-4.08,0.09949640287769768,POINT (-149.83 -17.5),-0.14,1884
205,7.983,-82.05,-3,Porites lobata,-5.696,0.10930058655373553,POINT (-82.05 7.983),-0.14,1884
206,-21.2378,-159.8278,,Porites lutea,-4.0125,0.24362084870848744,POINT (-159.8278 -21.2378),-0.14,1884
207,16.84,112.33,,,-5.529216666666667,-0.10800754219409292,POINT (112.33 16.84),-0.14,1884
208,32.0,-64.0,-16,Diploria labyrinthiformis,-3.712,-0.06367281105990763,POINT (-64 32),-0.17,1885
209,24.917,-80.757778,-5,Solenastrea bournoni,-2.31,0.2817283950617284,POINT (-80.757778 24.917),-0.17,1885
210,32.0,-64.0,-16,Diploria labyrinthiformis,-3.32,0.09807798165137616,POINT (-64 32),-0.17,1885
211,25.38,-80.17,-10,Montastraea faveolata,-3.46,0.10152542372881346,POINT (-80.17 25.38),-0.17,1885
212,-23.15,43.58,-1.1,Porites lobata,-4.623333333333334,-0.19774975272008,POINT (43.58 -23.15),-0.17,1885
213,-23.15725,43.588183,-1.8,Porites sp.,-4.488,0.007190265486725522,POINT (43.588183 -23.15725),-0.17,1885
