Year	Ifaty4_SrCa	Ifaty4_d18O	Zimbabwe_rainfall_recon	Kalahari_precip	Eastern_Cape_precip	Lesotho_precip	Mayotte	Ifaty1_SrCa	Ifaty1_d18O
1967	8.860197	-4.6548352	648.77	-1	1	-1	-5.0030495	8.745197	-4.464197
1968	8.856197	-4.5529508	472.23	-1	0	-2	-4.8412637	8.787197	-4.452197
1969	8.849197	-4.5414286	610.58	-1	-2	-2	-5.0564481	8.702197	-4.378197
1970	8.838197	-4.4140659	538.33	0	0	-2	-5.1031868	8.774197	-4.385197
1971	8.802197	-4.5852198	553.93	1	0	-1	-5.1303132	8.683197	-4.393197
1972	8.864197	-4.4908197	419.47	1	-1	-1	-4.9992692	8.727197	-4.693197
1973	8.801197	-4.4258242	474.69	-2	0	-2	-5.0468579	8.798198	-4.719197
1974	8.825197	-4.6120879	531.96	-1	2	0	-5.1107473	8.714198	-4.746197
1975	8.847198	-4.5511538	552.08	-1	0	-2	-5.1356593	8.811198	-4.491198
1976	8.834198	-4.7026776	548.59	1	2	2	-4.9884615	8.690198	-4.215198
1977	8.821198	-4.592967	421.32	-2	0	1	-5.0156284	8.752198	-4.164198
1978	8.808198	-4.5364286	593.34	0	0	-1	-5.042967	8.841198	-4.483198
1979	8.824198	-4.5762088	446.36	-2	1	0	-5.0541209	8.660198	-4.667198
1980	8.873198	-4.4310383	542.84	0	0	0	-5.0482692	8.918198	-4.610198
1981	8.878198	-4.6369231	625.98	-2	0	-2	-4.978612	8.702198	-4.938198
1982	8.862198	-4.5769231	466.28	-1	-1	-1	-5.0118132	8.749198	-4.431198
1983	8.837198	-4.4484066	367.54	-2	0	-1	-5.0608242	8.837198	-4.738198
1984	8.845199	-4.852459	542.64	1	-2	-2	-5.0590934	8.759199	-4.633198
1985	8.868199	-4.591978	542.23	-2	1	-2	-5.0709563	8.690199	-4.458198
1986	8.837199	-4.6353297	485.57	-2	1	-1	-5.0676374	8.726199	-4.760199
1987	8.841199	-4.5826374	465.66	0	-2	0	-4.9304396	8.653199	-4.725199
1988	8.886199	-4.6866667	481.06	1	-1	1	-5.0095165	8.704199	-4.727199
1989	8.840199	-4.5216484	546.33	-1	0	-1	-4.8960109	8.718199	-4.676199
1990	8.850199	-4.5151648	583.28	-2	-1	-2	-5.1234615	8.6912	-4.695199
1991	8.8602	-4.7709341	583.08	0	-1	-1	-5.1303846	8.6712	-4.641199
1992	8.8192	-4.5915301	425.84	-2	-2	-2	-5.1942308	8.7412	-4.769199
1993	8.8952	-4.7653846	483.72	-1	2	-1	-5.1512295	8.811	-4.783199
1994	8.893	-4.6162637	602.17	-1	0	1	-5.1536813	NA	-4.702199
1995	NA	-4.6442857	401.82	-1	-1	-2	NA	NA	-4.793
1996	NA	NA	462.99	-1	2	1	NA	NA	NA
1997	NA	NA	NA	0	-1	NA	NA	NA	NA
1998	NA	NA	NA	0	-1	NA	NA	NA	NA
1999	NA	NA	NA	NA	0	NA	NA	NA	NA
2000	NA	NA	NA	NA	NA	NA	NA	NA	NA
2001	NA	NA	NA	NA	-2	NA	NA	NA	NA
2002	NA	NA	NA	1	1	NA	NA	NA	NA
2003	NA	NA	NA	-2	-1	NA	NA	NA	NA
2004	NA	NA	NA	NA	-2	NA	NA	NA	NA
2005	NA	NA	NA	NA	-1	NA	NA	NA	NA
2006	NA	NA	NA	NA	2	NA	NA	NA	NA
2007	NA	NA	NA	NA	0	NA	NA	NA	NA
